  Frame_#         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      165        0.210        3.604            0      296.904      259.081      173.411
      166        0.200        3.625            0      297.853      240.897      175.153
      167        0.285        3.644            0      297.876      232.245      172.389
      168        0.259        3.628            0      295.659      246.836      170.648
      169        0.186        3.643            0      298.923      232.726      175.743
      170        0.239        3.621            0      296.705      246.184      170.507
      171        0.203        3.630            0      297.212      242.347      172.890
      172        0.205        3.603            0      296.221      245.701      175.208
      173        0.239        3.621            0      296.314      228.146      171.048
      174        0.215        3.586            0      294.793      237.731      168.421
      175        0.205        3.644            0      297.568      248.030      173.057
      176        0.181        3.635            0      297.739      267.330      169.572
      177        0.221        3.584            0      294.463      259.074      171.693
      178        0.158        3.620            0      296.361      206.348      171.458
      179        0.328        3.620            0      295.046      234.684      171.615
      180        0.211        3.646            0      297.411      251.565      171.925
      181        0.250        3.600            0      295.284      229.160      170.989
      182        0.221        3.597            0      296.047      226.255      176.441
      183        0.223        3.629            0      296.295      241.695      172.966
      184        0.231        3.609            0      295.100      239.954      166.720
      185        0.208        3.582            0      294.288      247.817      171.385
      186        0.184        3.592            0      296.365      251.035      169.229
      187        0.235        3.640            0      296.481      281.662      173.850
      188        0.254        3.625            0      296.741      257.930      173.940
      189        0.298        3.671            0      299.415      262.763      175.084
      190        0.256        3.666            0      298.789      248.195      173.455
      191        0.239        3.648            0      297.611      258.246      177.866
      192        0.385        3.664            0      298.860      262.008      173.750
      193        0.169        3.624            0      295.564      243.493      173.461
      194        0.230        3.598            0      296.225      259.658      172.595
      195        0.237        3.612            0      296.524      221.629      174.367
      196        0.237        3.656            0      297.415      240.220      172.094
      197        0.235        3.614            0      296.877      269.038      175.382
      198        0.280        3.636            0      297.845      236.026      174.522
      199        0.242        3.625            0      296.675      262.954      174.359
      200        0.173        3.607            0      296.339      251.920      171.029
      201        0.190        3.625            0      296.652      255.928      168.055
      202        0.217        3.594            0      294.463      225.700      171.427
      203        0.286        3.665            0      299.111      245.271      174.545
      204        0.321        3.671            0      299.078      238.138      172.804
      205        0.240        3.619            0      297.373      231.389      173.981
      206        0.256        3.649            0      297.719      239.816      172.431
      207        0.193        3.603            0      294.719      227.013      176.074
      208        0.315        3.593            0      295.734      253.274      178.531
      209        0.146        3.628            0      297.809      247.106      170.076
      210        0.337        3.679            0      297.401      241.238      175.508
      211        0.211        3.670            0      297.293      244.098      169.821
      212        0.190        3.662            0      297.985      239.970      169.002
      213        0.132        3.602            0      296.435      243.392      173.182
      214        0.209        3.626            0      295.670      284.158      172.732
      215        0.222        3.635            0      296.672      245.290      171.830
      216        0.210        3.596            0      295.126      245.317      170.163
      217        0.366        3.649            0      297.244      228.344      173.661
      218        0.449        3.692            0      297.993      237.996      175.808
      219        0.251        3.628            0      297.453      236.282      172.655
      220        0.215        3.628            0      296.920      242.073      174.379
      221        0.245        3.630            0      297.315      217.892      173.843
      222        0.204        3.578            0      293.367      177.778      172.347
      223        0.252        3.645            0      297.925      229.788      172.506
      224        0.359        3.637            0      297.272      223.543      174.919
      225        0.305        3.631            0      295.596      232.589      173.057
      226        0.332        3.627            0      297.317      237.863      177.561
      227        0.280        3.636            0      296.453      225.482      176.325
      228        0.265        3.607            0      295.629      244.902      170.402
      229        0.213        3.615            0      295.270      222.386      175.007
      230        0.321        3.675            0      298.414      251.059      174.007
      231        0.253        3.643            0      296.986      273.884      172.645
      232        0.217        3.599            0      295.469      201.921      173.216
      233        0.266        3.654            0      296.501      238.926      172.299
      234        0.172        3.602            0      295.457      165.480      171.633
      235        0.290        3.585            0      294.622      175.553      171.892
      236        0.162        3.622            0      298.172      182.366      174.970
      237        0.371        3.668            0      297.560      173.343      167.905
      238        0.376        3.608            0      296.453      154.765      174.444
      239        0.315        3.602            0      294.661      132.285      174.192
      240        0.176        3.619            0      296.019      114.851      173.481
      241        0.219        3.581            0      293.535      111.308      166.918
      242        0.214        3.600            0      296.122      115.970      176.375
      243        0.278        3.624            0      294.927      126.810      172.448
      244        0.300        3.612            0      296.424      144.675      171.263
      245        0.272        3.647            0      297.512      116.496      173.015
      246        0.285        3.661            0      296.874      122.820      174.738
      247        0.220        3.613            0      295.798      107.287      173.441
      248        0.265        3.635            0      296.793      131.565      175.502
      249        0.308        3.621            0      295.919      129.644      175.883
      250        0.186        3.602            0      294.663      144.692      169.640
      251        0.267        3.649            0      298.162      160.912      176.283
      252        0.326        3.622            0      295.503      147.489      175.758
      253        0.300        3.649            0      298.349      116.515      170.572
      254        0.220        3.638            0      297.046      125.884      176.114
      255        0.319        3.651            0      298.036      152.640      174.372
      256        0.179        3.633            0      296.379      134.038      172.152
      257        0.376        3.672            0      298.303      124.067      173.211
      258        0.234        3.618            0      296.738      142.608      173.767
      259        0.293        3.627            0      295.645      117.834      171.982
      260        0.204        3.627            0      296.597      135.741      171.581
      261        0.278        3.666            0      298.859      117.119      176.506
      262        0.269        3.613            0      295.516      130.098      176.979
      263        0.320        3.611            0      295.038      183.478      172.691
      264        0.286        3.658            0      297.665      161.768      177.187
      265        0.261        3.616            0      296.499      170.681      174.577
      266        0.225        3.632            0      296.320      159.190      175.975
      267        0.199        3.610            0      296.529      156.001      171.652
      268        0.270        3.637            0      295.943      168.599      173.921
      269        0.155        3.618            0      296.153      156.103      168.017
      270        0.325        3.619            0      296.771      156.752      175.823
      271        0.171        3.630            0      297.189      189.585      173.062
      272        0.197        3.616            0      295.263      148.696      168.001
      273        0.195        3.617            0      297.418      156.922      172.859
      274        0.275        3.631            0      296.468      147.594      170.989
      275        0.204        3.629            0      296.870      154.034      174.515
      276        0.235        3.621            0      294.800      152.809      172.014
      277        0.212        3.620            0      296.675      176.046      173.275
      278        0.285        3.618            0      296.153      150.572      172.913
      279        0.197        3.611            0      296.465      158.175      170.060
      280        0.279        3.603            0      295.198      146.079      173.409
      281        0.203        3.638            0      296.884      136.768      171.835
      282        0.391        3.646            0      297.697      175.918      174.417
      283        0.286        3.620            0      295.577      156.578      176.508
      284        0.247        3.626            0      296.063      156.318      171.952
      285        0.135        3.584            0      296.683      140.956      173.643
      286        0.215        3.587            0      294.745      186.388      172.245
      287        0.242        3.607            0      294.301      186.714      170.062
