NatID,SMILES
135,COc1ccc2c(c1)cc1c3c(cc(OC)c(OC)c32)C(=O)N1
136,COc1cc2c3c(cc4ccccc4c3c1OC)NC2=O
137,COc1ccc2cc3c4c(cc(OC)c(OC)c4c2c1)C(=O)N3
141,COc1c(C(=O)O)c(O)c2c3c(cc4ccccc4c13)NC2=O
142,COc1ccc2cc3c4c(c(O)c(C(=O)O)c(OC)c4c2c1)C(=O)N3
143,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3
144,O=C(O)c1cc2c(c3c1c([N+](=O)[O-])cc1ccccc13)OCO2
145,COc1ccc2cc([N+](=O)[O-])c3c(C(=O)O)cc4c(c3c2c1)OCO4
146,COc1cc(OC)c2cc([N+](=O)[O-])c3c(C(=O)O)cc4c(c3c2c1)OCO4
147,COc1cc2cc([N+](=O)[O-])c3c(C(=O)O)cc4c(c3c2cc1OC)OCO4
148,O=C(O)c1cc2c(c3c1c([N+](=O)[O-])cc1c(O)cccc13)OCO2
149,O=C(O)c1cc2c(c3c1c([N+](=O)[O-])cc1ccc(O)cc13)OCO2
150,COc1cc(O)cc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3
151,COc1cc2cc([N+](=O)[O-])c3c(C(=O)O)cc4c(c3c2cc1O)OCO4
152,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)c(O)c3c(c12)OCO3
153,COc1c(O)ccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3
154,COC(=O)c1cc2c(c3c1c([N+](=O)[O-])cc1c(OC)cccc13)OCO2
155,COC(=O)c1cc2c(c3c1c([N+](=O)[O-])cc1c(OC)cc(OC)cc13)OCO2
156,COC(=O)c1cc2c(c3c1c([N+](=O)[O-])cc1ccccc13)OCO2
157,COC(=O)c1cc2c(c3c1c([N+](=O)[O-])cc1ccc(OC)cc13)OCO2
158,CCOC(=O)c1cc2c(c3c1c([N+](=O)[O-])cc1ccccc13)OCO2
159,COc1c(CO)c2c3c(cc4ccccc4c3c1OC)NC2=O
