  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      260        0.253        3.460            0      304.919      196.769      158.953
      261        0.231        3.435            0      304.403      138.916      154.724
      262        0.259        3.484            0      306.332      169.946      164.079
      263        0.233        3.487            0      308.975      161.046      160.158
      264        0.269        3.469            0      304.049      184.190      156.493
      265        0.271        3.466            0      306.818      124.407      161.349
      266        0.232        3.484            0      306.223      183.469      164.762
      267        0.200        3.433            0      304.470      146.530      160.632
      268        0.239        3.471            0      307.158      138.294      162.181
      269        0.217        3.436            0      303.866      162.217      163.021
      270        0.251        3.460            0      305.409      141.316      162.241
      271        0.290        3.411            0      302.842      132.469      155.455
      272        0.249        3.472            0      306.779      189.270      161.183
      273        0.374        3.492            0      304.738      169.069      158.197
      274        0.324        3.488            0      304.544      138.895      157.148
      275        0.238        3.442            0      306.086      180.894      159.773
      276        0.262        3.482            0      306.071      171.728      159.886
      277        0.200        3.449            0      306.618      172.905      159.345
      278        0.219        3.476            0      307.192      181.220      161.657
      279        0.296        3.440            0      306.067      162.944      158.523
      280        0.289        3.492            0      306.806      156.754      161.069
      281        0.313        3.450            0      303.479      161.771      160.149
      282        0.197        3.446            0      305.219      167.867      162.601
      283        0.258        3.481            0      305.827      165.734      158.013
      284        0.189        3.448            0      305.015      169.755      162.416
      285        0.321        3.455            0      306.459      174.055      162.475
      286        0.307        3.488            0      305.321      176.676      160.403
      287        0.183        3.429            0      304.777      197.715      161.464
      288        0.272        3.471            0      305.944      172.937      162.298
      289        0.320        3.527            0      309.358      195.940      160.618
      290        0.255        3.452            0      307.701      179.311      161.596
      291        0.189        3.463            0      305.695      215.529      162.103
      292        0.221        3.479            0      308.068      239.783      161.507
      293        0.292        3.460            0      304.312      215.312      159.202
      294        0.245        3.451            0      304.254      246.353      158.596
      295        0.282        3.534            0      308.174      239.342      161.189
      296        0.313        3.426            0      302.396      273.411      159.808
      297        0.282        3.490            0      309.629      254.612      162.969
      298        0.256        3.483            0      307.097      224.989      164.321
      299        0.219        3.495            0      307.368      236.457      162.242
      300        0.286        3.443            0      305.208      223.686      165.194
      301        0.356        3.402            0      302.752      190.247      164.840
      302        0.227        3.452            0      305.704      210.525      158.598
      303        0.332        3.474            0      305.666      241.774      158.038
      304        0.250        3.456            0      306.317      214.452      158.825
      305        0.259        3.485            0      306.999      235.824      160.888
      306        0.261        3.442            0      304.826      234.595      160.682
      307        0.228        3.484            0      307.583      221.003      163.284
      308        0.235        3.490            0      308.568      229.625      160.998
      309        0.282        3.485            0      306.466      249.356      158.781
      310        0.258        3.468            0      306.168      246.821      157.600
      311        0.236        3.456            0      304.792      235.811      161.524
      312        0.174        3.455            0      304.816      200.938      160.989
      313        0.271        3.447            0      305.390      214.450      165.208
      314        0.237        3.465            0      306.877      282.844      161.454
      315        0.270        3.466            0      307.063      253.188      159.268
      316        0.197        3.461            0      306.211      241.254      160.997
      317        0.209        3.518            0      309.085      252.374      164.400
      318        0.231        3.476            0      304.457      257.378      158.380
      319        0.271        3.489            0      309.438      283.740      166.763
      320        0.255        3.466            0      307.288      243.000      160.609
      321        0.292        3.482            0      304.835      235.616      157.926
      322        0.245        3.470            0      307.371      240.941      161.318
      323        0.276        3.458            0      305.874      242.044      157.820
      324        0.222        3.489            0      305.689      244.409      161.326
      325        0.173        3.421            0      304.047      230.783      162.329
      326        0.241        3.485            0      306.444      227.204      159.887
      327        0.185        3.447            0      306.228      228.919      161.053
      328        0.137        3.505            0      310.764      233.901      162.443
      329        0.205        3.515            0      308.244      244.800      160.974
      330        0.174        3.491            0      307.125      229.231      159.152
      331        0.299        3.496            0      306.691      240.623      158.312
      332        0.248        3.490            0      306.165      247.785      161.399
      333        0.190        3.446            0      305.236      250.411      163.250
      334        0.167        3.416            0      303.513      221.249      158.504
      335        0.292        3.496            0      308.857      212.101      162.423
      336        0.250        3.431            0      304.114      243.365      162.763
      337        0.280        3.488            0      305.888      221.976      158.236
      338        0.249        3.439            0      303.407      239.787      156.646
      339        0.180        3.461            0      306.145      239.452      162.841
      340        0.215        3.477            0      306.601      246.938      162.006
      341        0.198        3.473            0      306.717      251.086      162.654
      342        0.260        3.466            0      304.329      236.708      160.052
      343        0.256        3.469            0      305.010      262.423      159.006
      344        0.218        3.501            0      308.026      260.569      160.439
      345        0.252        3.450            0      305.738      234.940      162.398
      346        0.261        3.478            0      305.541      282.511      160.118
      347        0.164        3.433            0      304.942      230.589      159.833
      348        0.232        3.437            0      304.447      237.202      158.889
      349        0.242        3.460            0      305.475      237.180      160.411
      350        0.272        3.478            0      307.139      255.486      158.976
      351        0.204        3.489            0      309.789      256.092      163.878
      352        0.221        3.517            0      308.569      243.365      161.606
      353        0.338        3.422            0      304.407      233.014      157.564
      354        0.315        3.470            0      305.384      226.242      158.550
      355        0.322        3.492            0      308.115      198.503      163.186
      356        0.251        3.455            0      305.587      212.848      154.910
      357        0.193        3.472            0      306.356      216.402      162.838
      358        0.233        3.435            0      304.522      214.435      162.509
      359        0.390        3.534            0      307.890      209.004      156.991
      360        0.293        3.507            0      306.472      209.595      157.833
      361        0.230        3.448            0      303.615      186.288      160.993
      362        0.212        3.463            0      306.455      225.553      163.767
      363        0.314        3.491            0      305.511      209.658      157.977
      364        0.238        3.470            0      306.641      210.680      162.219
      365        0.256        3.463            0      305.544      201.972      164.357
      366        0.272        3.495            0      306.527      214.653      160.937
      367        0.238        3.465            0      305.851      186.207      161.895
      368        0.265        3.462            0      306.291      237.245      161.467
      369        0.311        3.518            0      306.624      217.816      158.280
      370        0.279        3.490            0      307.208      223.519      159.113
      371        0.278        3.474            0      304.776      206.197      157.841
      372        0.156        3.431            0      303.750      175.069      160.431
      373        0.303        3.465            0      305.203      164.747      159.790
      374        0.168        3.434            0      304.805      181.779      160.939
      375        0.200        3.442            0      304.765      172.752      162.334
      376        0.278        3.538            0      309.226      157.054      161.489
      377        0.293        3.490            0      305.556      152.893      158.893
      378        0.353        3.450            0      305.157      141.527      160.845
      379        0.247        3.453            0      306.119      186.838      156.914
      380        0.186        3.471            0      305.567      187.052      162.007
      381        0.188        3.465            0      307.046      185.017      162.314
      382        0.271        3.521            0      308.245      167.117      158.535
      383        0.247        3.489            0      306.021      176.467      162.008
      384        0.175        3.474            0      307.424      141.987      162.597
      385        0.161        3.462            0      306.632      171.927      164.576
      386        0.221        3.474            0      306.100      163.691      162.172
      387        0.180        3.487            0      308.037      171.725      163.338
      388        0.246        3.467            0      307.211      177.840      162.701
      389        0.201        3.425            0      304.153      155.629      167.909
      390        0.204        3.471            0      305.168      134.666      158.221
      391        0.254        3.419            0      304.350      124.644      163.463
      392        0.173        3.449            0      304.583      183.483      162.458
      393        0.227        3.477            0      304.093      157.421      162.457
      394        0.366        3.407            0      304.094      154.486      165.587
      395        0.244        3.432            0      304.752      138.281      163.168
      396        0.288        3.437            0      305.643      142.230      162.026
      397        0.233        3.427            0      303.221      147.554      163.628
