  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      329        0.581        3.998            0      297.532      181.528      172.386
      330        0.680        4.031            0      300.331      159.041      171.467
      331        0.726        4.030            0      299.032      163.847      176.305
      332        0.801        4.001            0      297.985      165.965      169.737
      333        0.752        3.974            0      296.706      183.864      170.516
      334        0.827        3.977            0      299.032      182.117      171.231
      335        0.830        4.036            0      301.252      173.678      171.937
      336        0.917        3.982            0      299.250      166.859      170.185
      337        0.757        4.029            0      299.663      178.123      170.729
      338        0.830        3.997            0      298.845      175.515      172.710
      339        0.782        4.033            0      300.188      178.305      173.034
      340        0.797        3.953            0      296.903      176.629      172.564
      341        0.757        3.963            0      298.689      195.802      175.477
      342        0.723        4.038            0      300.281      207.154      171.058
      343        0.799        3.957            0      299.627      174.872      179.455
      344        0.802        3.966            0      296.761      190.572      171.662
      345        0.770        3.934            0      296.097      179.367      171.594
      346        0.778        4.009            0      300.130      176.065      172.556
      347        0.884        3.988            0      298.067      193.635      168.733
      348        0.690        3.986            0      298.768      161.507      176.510
      349        0.782        4.047            0      302.089      201.514      172.615
      350        0.779        3.982            0      301.473      175.902      178.803
      351        0.668        3.991            0      299.000      204.378      176.210
      352        0.690        4.019            0      299.246      181.500      174.444
      353        0.733        4.025            0      299.431      206.196      168.073
      354        0.796        3.959            0      296.488      208.461      174.489
      355        0.887        3.997            0      298.996      203.888      166.183
      356        0.775        4.012            0      297.871      166.790      168.301
      357        0.781        3.980            0      298.093      165.226      173.570
      358        0.755        4.038            0      301.407      175.273      175.870
      359        0.864        4.005            0      299.416      164.565      172.616
      360        0.786        4.003            0      297.952      171.127      167.587
      361        0.853        4.051            0      301.797      193.391      174.651
      362        0.740        4.014            0      299.377      163.347      175.437
      363        0.885        3.982            0      300.714      174.982      171.927
      364        0.791        3.978            0      299.440      164.250      171.306
      365        0.886        3.987            0      298.408      189.600      171.461
      366        0.798        3.967            0      297.079      179.820      169.641
      367        0.868        3.985            0      298.604      156.571      169.256
      368        0.792        4.010            0      298.517      184.099      163.660
      369        0.851        3.967            0      299.748      176.326      173.264
      370        0.794        4.005            0      299.256      174.148      170.824
      371        0.797        3.994            0      300.565      188.901      172.415
      372        0.732        3.987            0      299.259      186.404      175.706
      373        0.706        4.047            0      300.638      190.525      174.684
      374        0.825        4.013            0      300.655      178.630      176.246
      375        0.766        3.976            0      298.305      171.061      179.401
      376        0.697        4.023            0      298.835      187.639      176.453
      377        0.847        3.935            0      296.503      164.841      170.626
      378        0.868        3.967            0      297.771      202.876      168.704
      379        0.664        4.048            0      301.386      178.192      173.235
      380        0.773        3.976            0      296.765      184.396      169.478
      381        0.925        3.963            0      299.070      172.964      178.288
      382        0.916        3.919            0      298.028      193.349      175.481
      383        0.667        4.039            0      299.791      169.663      174.604
      384        0.734        3.970            0      298.334      170.364      176.250
      385        0.725        4.000            0      298.804      188.460      176.346
      386        0.849        3.952            0      297.645      167.649      171.919
      387        0.681        3.985            0      297.371      163.304      171.875
      388        0.753        3.963            0      299.378      183.196      174.789
      389        0.932        4.011            0      300.257      173.782      170.789
      390        0.802        3.994            0      299.734      191.208      176.970
      391        0.824        4.008            0      299.808      189.310      172.788
      392        0.794        3.996            0      299.228      202.609      170.230
      393        0.874        4.005            0      300.783      197.955      178.047
      394        0.904        3.967            0      300.543      170.331      179.247
      395        0.865        3.993            0      297.230      208.163      170.867
      396        0.778        4.028            0      298.754      186.679      175.880
      397        0.731        3.959            0      298.025      176.548      175.369
      398        0.871        3.988            0      298.234      199.968      174.567
      399        0.696        3.998            0      297.957      193.048      173.799
      400        0.686        4.066            0      300.488      192.797      175.712
      401        0.794        3.975            0      297.311      196.541      175.133
      402        0.796        4.016            0      299.872      166.743      174.467
      403        0.426        4.061            0      300.917      189.543      169.248
      404        0.838        3.994            0      300.201      193.328      174.343
      405        0.854        3.972            0      299.132      168.850      177.709
      406        0.912        3.952            0      299.935      182.158      172.179
      407        0.920        3.984            0      298.925      151.850      174.347
      408        0.670        4.027            0      299.519      201.162      172.889
      409        0.794        3.937            0      296.539      177.181      173.055
      410        0.878        3.992            0      300.177      230.505      175.676
      411        0.292        4.064            0      299.064      212.477      165.321
      412        0.728        4.033            0      299.522      205.379      170.013
